id,Data As Of,Totals By,STATE,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
118002,2023-09-27,By Month,Texas,Female,15-24 years,0,99,0,0
118003,2023-09-27,By Month,Texas,Female,18-29 years,13,141,0,0
118004,2023-09-27,By Month,Texas,Female,25-34 years,12,130,11,0
118005,2023-09-27,By Month,Texas,Female,30-39 years,24,221,24,0
118006,2023-09-27,By Month,Texas,Female,35-44 years,31,298,23,0
118007,2023-09-27,By Month,Texas,Female,40-49 years,39,377,35,0
118008,2023-09-27,By Month,Texas,Female,45-54 years,59,538,61,0
118009,2023-09-27,By Month,Texas,Female,50-64 years,151,1417,150,0
118010,2023-09-27,By Month,Texas,Female,55-64 years,117,1103,117,0
118011,2023-09-27,By Month,Texas,Female,65-74 years,133,1804,175,0
118012,2023-09-27,By Month,Texas,Female,75-84 years,112,2213,197,0
118013,2023-09-27,By Month,Texas,Female,85 years and over,86,2802,172,0
118014,2023-09-27,By Month,Texas,All Sexes,All Ages,7321,26563,5499,13
118015,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,157,0,0
118016,2023-09-27,By Month,Texas,All Sexes,0-17 years,16,294,12,0
118017,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,31,0,0
118018,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,51,0,0
118019,2023-09-27,By Month,Texas,All Sexes,15-24 years,58,374,31,0
118020,2023-09-27,By Month,Texas,All Sexes,18-29 years,144,662,79,0
118021,2023-09-27,By Month,Texas,All Sexes,25-34 years,263,807,155,0
118022,2023-09-27,By Month,Texas,All Sexes,30-39 years,429,1045,263,0
118023,2023-09-27,By Month,Texas,All Sexes,35-44 years,593,1363,368,0
118024,2023-09-27,By Month,Texas,All Sexes,40-49 years,873,1838,542,0
118025,2023-09-27,By Month,Texas,All Sexes,45-54 years,1159,2424,723,0
118026,2023-09-27,By Month,Texas,All Sexes,50-64 years,2167,5762,1483,0
118027,2023-09-27,By Month,Texas,All Sexes,55-64 years,1548,4394,1094,0
118028,2023-09-27,By Month,Texas,All Sexes,65-74 years,1627,5732,1311,0
118029,2023-09-27,By Month,Texas,All Sexes,75-84 years,1266,5772,1102,0
118030,2023-09-27,By Month,Texas,All Sexes,85 years and over,799,5458,707,0
118031,2023-09-27,By Month,Texas,Male,All Ages,4337,14540,3199,0
118032,2023-09-27,By Month,Texas,Male,Under 1 year,0,83,0,0
118033,2023-09-27,By Month,Texas,Male,0-17 years,0,163,0,0
118034,2023-09-27,By Month,Texas,Male,1-4 years,0,16,0,0
118035,2023-09-27,By Month,Texas,Male,5-14 years,0,29,0,0
118036,2023-09-27,By Month,Texas,Male,15-24 years,29,266,20,0
118037,2023-09-27,By Month,Texas,Male,18-29 years,87,477,47,0
118038,2023-09-27,By Month,Texas,Male,25-34 years,164,563,95,0
118039,2023-09-27,By Month,Texas,Male,30-39 years,256,678,160,0
118040,2023-09-27,By Month,Texas,Male,35-44 years,378,877,236,0
118041,2023-09-27,By Month,Texas,Male,40-49 years,585,1203,375,0
118042,2023-09-27,By Month,Texas,Male,45-54 years,786,1591,497,0
118043,2023-09-27,By Month,Texas,Male,50-64 years,1380,3620,914,0
118044,2023-09-27,By Month,Texas,Male,55-64 years,955,2716,651,0
118045,2023-09-27,By Month,Texas,Male,65-74 years,936,3256,739,0
118046,2023-09-27,By Month,Texas,Male,75-84 years,694,2969,601,0
118047,2023-09-27,By Month,Texas,Male,85 years and over,392,2174,356,0
118048,2023-09-27,By Month,Texas,Female,All Ages,2984,12023,2300,0
118049,2023-09-27,By Month,Texas,Female,Under 1 year,0,74,0,0
118050,2023-09-27,By Month,Texas,Female,0-17 years,0,131,0,0
118051,2023-09-27,By Month,Texas,Female,1-4 years,0,15,0,0
118052,2023-09-27,By Month,Texas,Female,5-14 years,0,22,0,0
118053,2023-09-27,By Month,Texas,Female,15-24 years,29,108,11,0
118054,2023-09-27,By Month,Texas,Female,18-29 years,57,185,32,0
118055,2023-09-27,By Month,Texas,Female,25-34 years,99,244,60,0
118056,2023-09-27,By Month,Texas,Female,30-39 years,173,367,103,0
118057,2023-09-27,By Month,Texas,Female,35-44 years,215,486,132,0
118058,2023-09-27,By Month,Texas,Female,40-49 years,288,635,167,0
118059,2023-09-27,By Month,Texas,Female,45-54 years,373,833,226,0
118060,2023-09-27,By Month,Texas,Female,50-64 years,787,2142,569,0
118061,2023-09-27,By Month,Texas,Female,55-64 years,593,1678,443,0
118062,2023-09-27,By Month,Texas,Female,65-74 years,691,2476,572,0
118063,2023-09-27,By Month,Texas,Female,75-84 years,572,2803,501,0
118064,2023-09-27,By Month,Texas,Female,85 years and over,407,3284,351,0
118065,2023-09-27,By Month,Texas,All Sexes,All Ages,8794,27270,6474,15
118066,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,167,0,0
118067,2023-09-27,By Month,Texas,All Sexes,0-17 years,20,312,12,0
118068,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,38,0,0
118069,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,57,0,0
118070,2023-09-27,By Month,Texas,All Sexes,15-24 years,60,395,38,0
118071,2023-09-27,By Month,Texas,All Sexes,18-29 years,165,688,106,0
118072,2023-09-27,By Month,Texas,All Sexes,25-34 years,313,837,198,0
118073,2023-09-27,By Month,Texas,All Sexes,30-39 years,529,1163,331,0
118074,2023-09-27,By Month,Texas,All Sexes,35-44 years,800,1570,517,0
118075,2023-09-27,By Month,Texas,All Sexes,40-49 years,1082,2014,715,0
118076,2023-09-27,By Month,Texas,All Sexes,45-54 years,1353,2577,883,0
118077,2023-09-27,By Month,Texas,All Sexes,50-64 years,2680,5990,1848,0
118078,2023-09-27,By Month,Texas,All Sexes,55-64 years,1935,4526,1368,0
118079,2023-09-27,By Month,Texas,All Sexes,65-74 years,2010,5974,1536,0
118080,2023-09-27,By Month,Texas,All Sexes,75-84 years,1436,5800,1229,0
118081,2023-09-27,By Month,Texas,All Sexes,85 years and over,872,5329,697,0
118082,2023-09-27,By Month,Texas,Male,All Ages,5137,15012,3745,0
118083,2023-09-27,By Month,Texas,Male,Under 1 year,0,90,0,0
118084,2023-09-27,By Month,Texas,Male,0-17 years,10,179,0,0
118085,2023-09-27,By Month,Texas,Male,1-4 years,0,22,0,0
118086,2023-09-27,By Month,Texas,Male,5-14 years,0,34,0,0
118087,2023-09-27,By Month,Texas,Male,15-24 years,31,278,19,0
118088,2023-09-27,By Month,Texas,Male,18-29 years,98,487,63,0
118089,2023-09-27,By Month,Texas,Male,25-34 years,208,596,136,0
118090,2023-09-27,By Month,Texas,Male,30-39 years,349,797,227,0
118091,2023-09-27,By Month,Texas,Male,35-44 years,521,1045,346,0
118092,2023-09-27,By Month,Texas,Male,40-49 years,707,1311,463,0
118093,2023-09-27,By Month,Texas,Male,45-54 years,870,1640,560,0
118094,2023-09-27,By Month,Texas,Male,50-64 years,1645,3645,1103,0
118095,2023-09-27,By Month,Texas,Male,55-64 years,1170,2714,797,0
118096,2023-09-27,By Month,Texas,Male,65-74 years,1150,3411,873,0
118097,2023-09-27,By Month,Texas,Male,75-84 years,764,2995,652,0
118098,2023-09-27,By Month,Texas,Male,85 years and over,414,2187,358,0
118099,2023-09-27,By Month,Texas,Female,All Ages,3657,12258,2729,0
118100,2023-09-27,By Month,Texas,Female,Under 1 year,0,77,0,0
118101,2023-09-27,By Month,Texas,Female,0-17 years,10,133,0,0
118102,2023-09-27,By Month,Texas,Female,1-4 years,0,16,0,0
118103,2023-09-27,By Month,Texas,Female,5-14 years,0,23,0,0
118104,2023-09-27,By Month,Texas,Female,15-24 years,29,117,19,0
118105,2023-09-27,By Month,Texas,Female,18-29 years,67,201,43,0
118106,2023-09-27,By Month,Texas,Female,25-34 years,105,241,62,0
118107,2023-09-27,By Month,Texas,Female,30-39 years,180,366,104,0
118108,2023-09-27,By Month,Texas,Female,35-44 years,279,525,171,0
118109,2023-09-27,By Month,Texas,Female,40-49 years,375,703,252,0
118110,2023-09-27,By Month,Texas,Female,45-54 years,483,937,323,0
118111,2023-09-27,By Month,Texas,Female,50-64 years,1035,2345,745,0
118112,2023-09-27,By Month,Texas,Female,55-64 years,765,1812,571,0
118113,2023-09-27,By Month,Texas,Female,65-74 years,860,2563,663,0
118114,2023-09-27,By Month,Texas,Female,75-84 years,672,2805,577,0
118115,2023-09-27,By Month,Texas,Female,85 years and over,458,3142,339,0
118116,2023-09-27,By Month,Texas,All Sexes,All Ages,4449,23097,3783,13
118117,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,170,0,0
118118,2023-09-27,By Month,Texas,All Sexes,0-17 years,10,324,0,0
118119,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,29,0,0
118120,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,77,0,0
118121,2023-09-27,By Month,Texas,All Sexes,15-24 years,36,346,26,0
118122,2023-09-27,By Month,Texas,All Sexes,18-29 years,88,588,64,0
118123,2023-09-27,By Month,Texas,All Sexes,25-34 years,150,692,106,0
118124,2023-09-27,By Month,Texas,All Sexes,30-39 years,247,873,179,0
118125,2023-09-27,By Month,Texas,All Sexes,35-44 years,342,1077,251,0
118126,2023-09-27,By Month,Texas,All Sexes,40-49 years,457,1406,337,0
118127,2023-09-27,By Month,Texas,All Sexes,45-54 years,616,1903,485,0
118128,2023-09-27,By Month,Texas,All Sexes,50-64 years,1388,4793,1094,0
118129,2023-09-27,By Month,Texas,All Sexes,55-64 years,1040,3690,808,0
118130,2023-09-27,By Month,Texas,All Sexes,65-74 years,1083,5146,948,0
118131,2023-09-27,By Month,Texas,All Sexes,75-84 years,741,5108,716,0
118132,2023-09-27,By Month,Texas,All Sexes,85 years and over,435,4859,439,0
118133,2023-09-27,By Month,Texas,Male,All Ages,2495,12346,2119,0
118134,2023-09-27,By Month,Texas,Male,Under 1 year,0,97,0,0
118135,2023-09-27,By Month,Texas,Male,0-17 years,0,188,0,0
118136,2023-09-27,By Month,Texas,Male,1-4 years,0,16,0,0
118137,2023-09-27,By Month,Texas,Male,5-14 years,0,41,0,0
118138,2023-09-27,By Month,Texas,Male,15-24 years,22,262,15,0
118139,2023-09-27,By Month,Texas,Male,18-29 years,46,436,34,0
118140,2023-09-27,By Month,Texas,Male,25-34 years,87,489,66,0
118141,2023-09-27,By Month,Texas,Male,30-39 years,142,572,99,0
118142,2023-09-27,By Month,Texas,Male,35-44 years,205,683,149,0
118143,2023-09-27,By Month,Texas,Male,40-49 years,285,880,209,0
118144,2023-09-27,By Month,Texas,Male,45-54 years,378,1182,292,0
118145,2023-09-27,By Month,Texas,Male,50-64 years,808,2937,647,0
118146,2023-09-27,By Month,Texas,Male,55-64 years,592,2243,469,0
118147,2023-09-27,By Month,Texas,Male,65-74 years,609,2854,543,0
118148,2023-09-27,By Month,Texas,Male,75-84 years,399,2593,372,0
118149,2023-09-27,By Month,Texas,Male,85 years and over,199,1886,212,0
118150,2023-09-27,By Month,Texas,Female,All Ages,1954,10751,1664,0
118151,2023-09-27,By Month,Texas,Female,Under 1 year,0,73,0,0
118152,2023-09-27,By Month,Texas,Female,0-17 years,0,136,0,0
118153,2023-09-27,By Month,Texas,Female,1-4 years,0,13,0,0
118154,2023-09-27,By Month,Texas,Female,5-14 years,0,36,0,0
118155,2023-09-27,By Month,Texas,Female,15-24 years,14,84,11,0
118156,2023-09-27,By Month,Texas,Female,18-29 years,42,152,30,0
118157,2023-09-27,By Month,Texas,Female,25-34 years,63,203,40,0
118158,2023-09-27,By Month,Texas,Female,30-39 years,105,301,80,0
118159,2023-09-27,By Month,Texas,Female,35-44 years,137,394,102,0
118160,2023-09-27,By Month,Texas,Female,40-49 years,172,526,128,0
118161,2023-09-27,By Month,Texas,Female,45-54 years,238,721,193,0
118162,2023-09-27,By Month,Texas,Female,50-64 years,580,1856,447,0
118163,2023-09-27,By Month,Texas,Female,55-64 years,448,1447,339,0
118164,2023-09-27,By Month,Texas,Female,65-74 years,474,2292,405,0
118165,2023-09-27,By Month,Texas,Female,75-84 years,342,2515,344,0
118166,2023-09-27,By Month,Texas,Female,85 years and over,236,2973,227,0
118167,2023-09-27,By Month,Texas,All Sexes,All Ages,1957,20451,2169,0
118168,2023-09-27,By Month,Texas,All Sexes,Under 1 year,0,155,0,0
118169,2023-09-27,By Month,Texas,All Sexes,0-17 years,0,287,13,0
118170,2023-09-27,By Month,Texas,All Sexes,1-4 years,0,35,0,0
118171,2023-09-27,By Month,Texas,All Sexes,5-14 years,0,50,0,0
118172,2023-09-27,By Month,Texas,All Sexes,15-24 years,14,306,13,0
118173,2023-09-27,By Month,Texas,All Sexes,18-29 years,31,459,22,0
118174,2023-09-27,By Month,Texas,All Sexes,25-34 years,55,488,41,0
